train_class,test_class,train_relative_path,test_relative_path,train_path,test_path,train_hash,test_hash,distance,same_class
Golgi,CellWall,Golgi/52-WT--18500X--0134_Golgi_1.tif,CellWall/4gill_010_Cell_Wall_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Golgi/52-WT--18500X--0134_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/CellWall/4gill_010_Cell_Wall_1.tif,ad0296e9cce0a7f1,ad17164989e4e2f3,14,False
Vesicles,CellWall,Vesicles/LA+1170--30000X--0009_Vesicles_1.tif,CellWall/mkb4_013_Cell_Wall_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Vesicles/LA+1170--30000X--0009_Vesicles_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/CellWall/mkb4_013_Cell_Wall_1.tif,ca3f35d9c21ecb04,ab2ba5dbc6564344,14,False
Chloroplast,Chloroplast,Chloroplast/2.1_015_Chloroplast_1.tif,Chloroplast/1.1_009_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/2.1_015_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/1.1_009_Chloroplast_2.tif,fa42e459958e662d,fb42c41d9b34652d,14,True
Chloroplast,Chloroplast,Chloroplast/2gill_009_Chloroplast_7.tif,Chloroplast/1.1_009_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/2gill_009_Chloroplast_7.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/1.1_009_Chloroplast_2.tif,fb66e40d93b40ce4,fb42c41d9b34652d,14,True
Autosome,Chloroplast,Autosome/1--30000X--0008_Autosome_1.tif,Chloroplast/2.1_002_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0008_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/2.1_002_Chloroplast_2.tif,bda9d0ebcfc98201,bf89d06ac3618667,14,False
Chloroplast,Chloroplast,Chloroplast/M8-1_006_Chloroplast_4.tif,Chloroplast/2.1_002_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/M8-1_006_Chloroplast_4.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/2.1_002_Chloroplast_2.tif,ff41d058c3738355,bf89d06ac3618667,14,True
Chloroplast,Chloroplast,Chloroplast/309n_009_Chloroplast_8.tif,Chloroplast/2gill_002_Chloroplast_4.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/309n_009_Chloroplast_8.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/2gill_002_Chloroplast_4.tif,bfb8905a8f493c46,be1e8058cd499cf6,14,True
Mito,Chloroplast,Mito/WT2--23000X--0002_Mito_2.tif,Chloroplast/2gill_005_Chloroplast_3.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/WT2--23000X--0002_Mito_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/2gill_005_Chloroplast_3.tif,bd55504aaa29d567,fd95d07889615547,14,False
Mito,Chloroplast,Mito/Q3--11000X--0008_Mito_2.tif,Chloroplast/6gill_013_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/Q3--11000X--0008_Mito_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/6gill_013_Chloroplast_1.tif,ebe084859f9f9498,aae0c5ad5e92969a,14,False
Chloroplast,Chloroplast,Chloroplast/zb2_022_Chloroplast_2.tif,Chloroplast/LNNA_004_Chloroplast_5.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/zb2_022_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/LNNA_004_Chloroplast_5.tif,ffc08587d89cd0b1,fad0d587d68c54a8,14,True
Chloroplast,Chloroplast,Chloroplast/M8_014_Chloroplast_1.tif,Chloroplast/M8_014_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/M8_014_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/M8_014_Chloroplast_2.tif,ea42c50d873d9bb1,ea46d54d960d9d1c,14,True
Chloroplast,Chloroplast,Chloroplast/3gill_007_Chloroplast_1.tif,Chloroplast/M9-1_002_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/3gill_007_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/M9-1_002_Chloroplast_2.tif,ab4ad0ad9b349d32,eb4af44d83189f70,14,True
Chloroplast,Chloroplast,Chloroplast/M8_014_Chloroplast_1.tif,Chloroplast/M9-1_002_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/M8_014_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/M9-1_002_Chloroplast_2.tif,ea42c50d873d9bb1,eb4af44d83189f70,14,True
Mito,Chloroplast,Mito/169--68000X--0073_Mito_1.tif,Chloroplast/M9-1_002_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/169--68000X--0073_Mito_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/M9-1_002_Chloroplast_2.tif,fb4bc06d87349e90,eb4af44d83189f70,14,False
Mito,Chloroplast,Mito/M_J83--30000X--0044_Mito_1.tif,Chloroplast/M9-1_002_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/M_J83--30000X--0044_Mito_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/M9-1_002_Chloroplast_2.tif,ab68b408971e9e7c,eb4af44d83189f70,14,False
Vesicles,Chloroplast,Vesicles/169--30000X--0053_Vesicles_1.tif,Chloroplast/M9-1_002_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Vesicles/169--30000X--0053_Vesicles_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/M9-1_002_Chloroplast_2.tif,ad6a34478238df53,eb4af44d83189f70,14,False
Chloroplast,Chloroplast,Chloroplast/LNNA_006_Chloroplast_16.tif,Chloroplast/m-2_004_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/LNNA_006_Chloroplast_16.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/m-2_004_Chloroplast_1.tif,eb1585f09aea89cc,eb3f85709a2390e6,14,True
Chloroplast,Chloroplast,Chloroplast/M8_014_Chloroplast_4.tif,Chloroplast/m-2_004_Chloroplast_5.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/M8_014_Chloroplast_4.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/m-2_004_Chloroplast_5.tif,ab95b45ad0c8c9cd,a8b597d0dacac9c8,14,True
Chloroplast,Chloroplast,Chloroplast/zb2_006_Chloroplast_2.tif,Chloroplast/m-2_004_Chloroplast_5.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/zb2_006_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/m-2_004_Chloroplast_5.tif,aab5d58ad29b8949,a8b597d0dacac9c8,14,True
Chloroplast,Chloroplast,Chloroplast/3gill_010_Chloroplast_1.tif,Chloroplast/swccday neutral_005_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/3gill_010_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/swccday neutral_005_Chloroplast_1.tif,be37cb69a4422359,bd3fc6c8946223d1,14,True
Chloroplast,Chloroplast,Chloroplast/379n_004_Chloroplast_1.tif,Chloroplast/swccshort day_004_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/379n_004_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/swccshort day_004_Chloroplast_2.tif,aa9591cacd65d0e6,ab95dac9ecc4c0e2,14,True
Chloroplast,Chloroplast,Chloroplast/6gill_002_Chloroplast_3.tif,Chloroplast/zb1_007_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/6gill_002_Chloroplast_3.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/zb1_007_Chloroplast_1.tif,bf9f814ac431d2c9,bf9fc0688751caa1,14,True
Chloroplast,Chloroplast,Chloroplast/M8-1_006_Chloroplast_2.tif,Chloroplast/zb1_028_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/M8-1_006_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/zb1_028_Chloroplast_1.tif,bbb4c44416d35a5b,fba4c44c9b529873,14,True
Golgi,ER,Golgi/43--6800X--0009_Golgi_2.tif,ER/2+--6800X--0011_ER_3.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Golgi/43--6800X--0009_Golgi_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/ER/2+--6800X--0011_ER_3.tif,b1e19a1f0790f0e7,b02f1817273af0e7,14,False
Golgi,Golgi,Golgi/#3--6800X--0008_Golgi_1.tif,Golgi/#3--23000X--0057_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Golgi/#3--6800X--0008_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Golgi/#3--23000X--0057_Golgi_1.tif,f31cea6229e13e92,f11cca6a0bc5bc47,14,True
Golgi,Golgi,Golgi/#54--23000X--0075_Golgi_1.tif,Golgi/#54--23000X--0050_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Golgi/#54--23000X--0075_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Golgi/#54--23000X--0050_Golgi_1.tif,eef0c01da92b0779,fce1810da95b2f38,14,True
Chloroplast,Golgi,Chloroplast/6gill_013_Chloroplast_2.tif,Golgi/37--23000X--0002_Golgi_4.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/6gill_013_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Golgi/37--23000X--0002_Golgi_4.tif,afc892853b70c33e,bfe082057d74d52a,14,False
Golgi,Golgi,Golgi/45--9300X--0004_Golgi_1.tif,Golgi/45--23000X--0011_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Golgi/45--9300X--0004_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Golgi/45--23000X--0011_Golgi_1.tif,f734f4a131354f0c,f234d0a331372c5f,14,True
Chloroplast,Mito,Chloroplast/3gill_007_Chloroplast_5.tif,Mito/R1--49000X--0023_Mito_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/3gill_007_Chloroplast_5.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Mito/R1--49000X--0023_Mito_1.tif,aa4095a7cf96cd98,aa44953e959ed499,14,False
Chloroplast,Mito,Chloroplast/M9-1_002_Chloroplast_1.tif,Mito/R1--49000X--0023_Mito_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/M9-1_002_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Mito/R1--49000X--0023_Mito_1.tif,ab4790bc9fc6c491,aa44953e959ed499,14,False
Mito,Mito,Mito/169--68000X--0077_Mito_1.tif,Mito/WT+LA--30000X--0021_Mito_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/169--68000X--0077_Mito_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Mito/WT+LA--30000X--0021_Mito_1.tif,fac0912f9a7cd0f0,facf81149a74d872,14,True
Autosome,Mito,Autosome/4--30000X--0021_Autosome_2.tif,Mito/ZONG_S3_5.27--23000X--0018_Mito_4.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/4--30000X--0021_Autosome_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Mito/ZONG_S3_5.27--23000X--0018_Mito_4.tif,bd87d24b8b2d8970,b94bd04bcb352936,14,False
Golgi,Nucleus,Golgi/44--23000X--0015_Golgi_2.tif,Nucleus/KW10-3--4800X--0037_Nucleus_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Golgi/44--23000X--0015_Golgi_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Nucleus/KW10-3--4800X--0037_Nucleus_2.tif,8a033f1fcf945958,8803771f699c6f98,14,False
ER,Nucleus,ER/3W-CD4-Ctrl3--30000X--0054_ER_1.tif,Nucleus/RKO-WT-3--6800X--0005_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/ER/3W-CD4-Ctrl3--30000X--0054_ER_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Nucleus/RKO-WT-3--6800X--0005_Nucleus_1.tif,f77fdef8e0b80000,fffffdf282080001,14,False
Chloroplast,Nucleus,Chloroplast/cjy-2_013_Chloroplast_6.tif,Nucleus/kw10-3--6800X--0052_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/cjy-2_013_Chloroplast_6.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Nucleus/kw10-3--6800X--0052_Nucleus_1.tif,c0c18b3ef56d8a6c,c0c0e1fef7b98a24,14,False
Nucleus,Nucleus,Nucleus/kw10-7--6800X--0013_Nucleus_1.tif,Nucleus/kw10-3--6800X--0080_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Nucleus/kw10-7--6800X--0013_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Nucleus/kw10-3--6800X--0080_Nucleus_1.tif,bbe4e449ce173834,f9eec4818e1d3839,14,True
Chloroplast,Nucleus,Chloroplast/1.1_008_Chloroplast_9.tif,Nucleus/kw10-4--6800X--0030_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/1.1_008_Chloroplast_9.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Nucleus/kw10-4--6800X--0030_Nucleus_1.tif,eae2d785b49ad20c,afe0b485968adb2c,14,False
Nucleus,Nucleus,Nucleus/kw10-6--6800X--0014_Nucleus_1.tif,Nucleus/kw10-6--6800X--0004_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Nucleus/kw10-6--6800X--0014_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Nucleus/kw10-6--6800X--0004_Nucleus_1.tif,97737a5d24d08cd8,93717edcc4c8ccc2,14,True
CellWall,Nucleus,CellWall/essam21_009_Cell_Wall_1.tif,Nucleus/wt-6--13000X--0080_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/CellWall/essam21_009_Cell_Wall_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Nucleus/wt-6--13000X--0080_Nucleus_1.tif,c2ddbd25ab3aca02,c29ab92fa836cb23,14,False
CellWall,Nucleus,CellWall/zzc4_012_Cell_Wall_2.tif,Nucleus/wt-7--6800X--0077_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/CellWall/zzc4_012_Cell_Wall_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Nucleus/wt-7--6800X--0077_Nucleus_1.tif,8a2f7717a48ee438,aa2137d4e98ee43a,14,False
Nucleus,Vesicles,Nucleus/kw10-3--6800X--0077_Nucleus_2.tif,Vesicles/1-1shiyan--23000X--0014_Vesicles_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Nucleus/kw10-3--6800X--0077_Nucleus_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Vesicles/1-1shiyan--23000X--0014_Vesicles_1.tif,823a2aaba1e3c6bd,922d6aa8a1f186f7,14,False
Vesicles,Vesicles,Vesicles/79-1--11000X--0014_Vesicles_3.tif,Vesicles/169--30000X--0046_Vesicles_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Vesicles/79-1--11000X--0014_Vesicles_3.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Vesicles/169--30000X--0046_Vesicles_1.tif,9a0e65e496cf9a54,9e22659e96679a4c,14,True
Vesicles,Vesicles,Vesicles/#56--23000X--0081_Vesicles_1.tif,Vesicles/169--6800X--0030_Vesicles_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Vesicles/#56--23000X--0081_Vesicles_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Vesicles/169--6800X--0030_Vesicles_1.tif,c3c674e1c2d6cc99,8b9225e1f394dc99,14,True
Vesicles,Vesicles,Vesicles/2+--6800X--0011_Vesicles_1.tif,Vesicles/kw3-1--13000X--0135_Vesicles_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Vesicles/2+--6800X--0011_Vesicles_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Vesicles/kw3-1--13000X--0135_Vesicles_1.tif,cfc9353ee270c483,cb483c3f52f04ccb,14,True
Autosome,Autosome,Autosome/10-SI--23000X--0038_Autosome_2.tif,Autosome/1--30000X--0006_Autosome_6.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/10-SI--23000X--0038_Autosome_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/1--30000X--0006_Autosome_6.tif,fc5688314fcc3c3c,fd50b069cf643a34,16,True
Mito,Autosome,Mito/10-N--23000X--0025_Mito_1.tif,Autosome/1--30000X--0006_Autosome_6.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/10-N--23000X--0025_Mito_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/1--30000X--0006_Autosome_6.tif,ef40d04d87a4db3c,fd50b069cf643a34,16,False
Chloroplast,Autosome,Chloroplast/M8_014_Chloroplast_1.tif,Autosome/1--30000X--0007_Autosome_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/M8_014_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/1--30000X--0007_Autosome_2.tif,ea42c50d873d9bb1,b282d18e872dd9e5,16,False
Mito,Autosome,Mito/#3--23000X--0039_Mito_1.tif,Autosome/1--30000X--0007_Autosome_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/#3--23000X--0039_Mito_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/1--30000X--0007_Autosome_2.tif,a3aac1ccc15dd86d,b282d18e872dd9e5,16,False
Mito,Autosome,Mito/R3--49000X--0020_Mito_1.tif,Autosome/1--30000X--0007_Autosome_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/R3--49000X--0020_Mito_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/1--30000X--0007_Autosome_2.tif,aac681ae8f2d4f0d,b282d18e872dd9e5,16,False
Mito,Autosome,Mito/m_j76--30000X--0036_Mito_2.tif,Autosome/1--30000X--0007_Autosome_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/m_j76--30000X--0036_Mito_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/1--30000X--0007_Autosome_2.tif,aba491adc30d5de4,b282d18e872dd9e5,16,False
Vesicles,Autosome,Vesicles/1--18500X--0029_Vesicles_1.tif,Autosome/1--30000X--0010_Autosome_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Vesicles/1--18500X--0029_Vesicles_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/1--30000X--0010_Autosome_2.tif,cd363234cfeb340c,bd3d9030cefb1c09,16,False
Autosome,Autosome,Autosome/1-3-hkf--6800X--0007_Autosome_1.tif,Autosome/1--30000X--0010_Autosome_3.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-3-hkf--6800X--0007_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/1--30000X--0010_Autosome_3.tif,a9c49674d81965eb,b944971ecf31252b,16,True
Autosome,Autosome,Autosome/PG1--98000X--0030_Autosome_1.tif,Autosome/1--30000X--0010_Autosome_3.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/PG1--98000X--0030_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/1--30000X--0010_Autosome_3.tif,a881951ede246f3b,b944971ecf31252b,16,True
Mito,Autosome,Mito/R3--49000X--0022_Mito_1.tif,Autosome/1-1shiyan--23000X--0014_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/R3--49000X--0022_Mito_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/1-1shiyan--23000X--0014_Autosome_1.tif,eaf7c4e18e4198c6,e837c321cc4797c6,16,False
Vesicles,Autosome,Vesicles/1-3-hkf--6800X--0002_Vesicles_1.tif,Autosome/10-N--23000X--0010_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Vesicles/1-3-hkf--6800X--0002_Vesicles_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/10-N--23000X--0010_Autosome_1.tif,9a4d65c88fb0bba8,f1cdc5098f708ba9,16,False
